"","id","SAMPLE","GROUP","MINERAL","ROCK","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","PBO","S","ZRO2","AS"
"1","41093","samp. F-368","CARBONATE","CALCITE","PYROXENITE",0.03,0.01,0,0.04,0.06,54.64,0,0.05,0.02,0.42,0.01,0,0,0.006,0,0,0,0,0,0.01,0.18,0
"2","41094","samp. F-303","CARBONATE","CALCITE","PYROXENITE",0.07,0.01,0.01,0.21,0.12,53.78,0,0.03,0.01,0.14,0.01,0,1.3415,0.04,0,0,0,0,0,0,0.18,0
"3","41095","samp. F-368","CARBONATE","CALCITE","PYROXENITE",0.1749253,0.01,0.05788961,0.21,0.19468,53.56,0,0.04,0.02,0.14,0.12,0,1.66,0,0.0549,0,0,0,0,0,0.18,0
"4","41103","samp. M2","CARBONATE","CALCITE","SOVITE",0.06,0,0.0163333333333333,0,0.37,53.1,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0.14,0.18,0
"5","41104","samp. M2","CARBONATE","CALCITE","SOVITE",0,0,0.02,0.011,0.09,51.6,0,0,0.05,0,0.01,0,0,0,0.0255,0,0,0,0,0.14,0.015,0
"6","41105","samp. M1A","CARBONATE","CALCITE","SOVITE",0,0,0,0,0.32,55.1,0.4,0.3,0,0,0,0,0,0,0.2,0,0,0,0,0,0.18,0
"7","41106","samp. M1A","CARBONATE","CALCITE","SOVITE",0.045,0.09134862,0.03,0.21,0.505,55.6,0.5,0.3,0.011,0.326,0.04,0,0.23,0,0,0,0,0,0,0.14,0.18,0
"8","41107","samp. M1A","CARBONATE","CALCITE","SOVITE",0.01,0,0,0.02,0.1166,54.6,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0
"9","41108","samp. M1","CARBONATE","CALCITE","SOVITE",0,0,0.01,0.1,0.505,56,0,0,0,0,0.033,0,0,0.0029,0,0,0,0.03,0,0.01,0.01,0
"10","41109","samp. M3","CARBONATE","CALCITE","ALVIKITE",0.09,0.03107444,0,0.011,0,53.8,0.6,0.4,0.13,0.76,0.48,0,0,0,0.03,0,0,0.03485,0,0.19,0.01,0
"11","41110","samp. M3","CARBONATE","CALCITE","ALVIKITE",0,0.05,0.05949192,0.04,0.476,47.4,0.3,0.7,0.1891259,0,0.25,0,0.5353,0,0.03,0,0,0.04,0,0.01,0.18,0
"12","41111","samp. M3","CARBONATE","CALCITE","ALVIKITE",0.05,0,0,0,0.158,55.2,0,0.5,0,0.02,0,0,0,0,0.009,0,0,0,0,0.01,0.015,0
"13","41112","samp. M3","CARBONATE","CALCITE","ALVIKITE",0.07,0.02,0.01,0,0.12,55.6,0,0.2,0.01,0.0858,0,0,0.0177,0,0.0105,0,0,0,0,0.01,0.18,0
"14","41113","samp. M1A","CARBONATE","CALCITE","SOVITE",0.03,0,0,0,0.04,56,0,0,0,0.0717,0.03,0,0,0.0061,0,0,0,0,0,0,0.18,0
"15","41114","samp. M1A","CARBONATE","CALCITE","SOVITE",0,0,0,0.02,0.983649787805533,56.5,0.3,0.5,0.04,0.023,0,0,0,0,0.01,0,0,0,0,0.19,0.015,0
"16","41115","samp. M1A","CARBONATE","CALCITE","SOVITE",0,0,0,0.09,0.12,56.9,0,0,0,0,0,0,0.01,0,0.069,0,0,0,0,0,0.01,0
