SIO2,TIO2,AL2O3,CR2O3,FEOT,CAO,MGO,MNO,K2O,NA2O,P2O5,H20,F,CL,NIO,CUO,COO,ZNO,PBO,S,ZRO2,AS,MINERAL,GROUP
52.84,0.24,3.72,0.27,13.63,12.12,13.65,0.3,0.12,0.47,0.02,2.13,0.07,0.05,0.08,0.0,0.0,0.0,0.0,0.0,0.06,0.0,ACTINOLITE,AMPHIBOLES
49.43,0.11,6.35,0.23,18.82,18.33,9.02,0.51,0.0,1.17,0.18,2.07,0.21,0.08,0.03,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,ACTINOLITE,AMPHIBOLES
53.65,0.16,2.35,0.06,9.37,12.3,17.71,0.27,0.19,0.68,0.01,2.05,0.29,0.02,0.08,0.0,0.0,0.0,0.0,0.0,0.05,0.0,ACTINOLITE,AMPHIBOLES
55.88,0.11,3.21,0.42,6.82,12.45,18.78,0.25,0.03,0.29,0.01,2.16,0.16,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTINOLITE,AMPHIBOLES
48.5,0.37,7.36,0.08,16.14,12.29,10.96,0.24,0.61,0.55,0.0,2.1,0.15,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTINOLITE,AMPHIBOLES
52.64,0.22,4.01,0.09,9.23,12.23,16.66,0.07,0.08,0.2,0.02,2.03,0.62,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,ACTINOLITE,AMPHIBOLES
53.2,0.08,3.86,0.0,14.4,12.69,14.61,0.23,0.21,0.27,0.0,2.13,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,ACTINOLITE,AMPHIBOLES
51.14,0.83,4.09,0.02,14.97,11.81,14.44,0.33,0.34,0.64,0.01,2.01,0.22,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTINOLITE,AMPHIBOLES
54.39,0.19,1.64,0.0,12.65,12.46,15.95,0.41,0.03,0.22,0.02,2.25,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,ACTINOLITE,AMPHIBOLES
53.78,0.09,3.0,0.06,11.91,11.88,15.63,0.46,0.12,0.32,0.01,1.99,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,ACTINOLITE,AMPHIBOLES
